t_ms,raw,volts,ohms
70600,3514.8,2.832,1651.0
70650,3513.2,2.831,1656.0
70700,3513.0,2.831,1657.0
70750,3510.6,2.829,1665.0
70800,3510.9,2.829,1664.0
70850,3511.6,2.83,1661.0
70900,3510.2,2.829,1666.0
70950,3511.2,2.83,1663.0
71000,3511.4,2.83,1662.0
71050,3517.5,2.835,1642.0
71100,3511.7,2.83,1661.0
71150,3512.2,2.83,1659.0
71200,3514.9,2.833,1650.0
71250,3513.0,2.831,1657.0
71300,3512.0,2.83,1660.0
71350,3509.6,2.828,1668.0
71400,3511.2,2.83,1663.0
71450,3510.0,2.829,1667.0
71500,3513.0,2.831,1657.0
71550,3513.1,2.831,1656.0
71600,3516.4,2.834,1645.0
71650,3514.7,2.832,1651.0
71700,3514.3,2.832,1652.0
71750,3516.3,2.834,1646.0
71800,3515.5,2.833,1648.0
71850,3514.1,2.832,1653.0
71900,3513.4,2.831,1655.0
71950,3516.4,2.834,1646.0
72000,3516.1,2.834,1646.0
72050,3519.2,2.836,1636.0
72100,3515.2,2.833,1649.0
72150,3518.6,2.836,1638.0
72200,3514.8,2.832,1651.0
72250,3512.2,2.83,1659.0
72300,3467.1,2.794,1811.0
72350,3424.0,2.759,1960.0
72400,3499.1,2.82,1703.0
72450,3605.8,2.906,1357.0
72500,3636.1,2.93,1262.0
72550,3650.6,2.942,1217.0
72600,3661.9,2.951,1183.0
